Title,Author,Year,ISBN,Target Users,Expertise Level,Lesson Plans or Projects,Subjects,Amazon Link,Worldcat Link,Annotation
"3D printing : technology, applications, and selection","Rafiq,Noorani",2017,10.1201/9781315155494 doi,General,Intermediate,,3D Printing,https://www.amazon.com/3D-Printing-Technology-Applications-Selection/dp/1498783759/ref=sr_1_2?keywords=3D+printing+%3A+technology%2C+applications%2C+and+selection&qid=1569590604&s=gateway&sr=8-2,https://www.worldcat.org/title/3d-printing-technology-applications-and-selection/oclc/1021403874&referer=brief_results,"3D printing : technology, applications, and selection covers how 3D printers are made, how they work, and what they can be used for.  This is a great book for anyone who wants to learn more about 3D printing as a tool."
Practical Guide for Librarians: 3D Printing,"Sara Russell Gonzalez,Denise Bennett",2016,978-1-4422-5548-7,"K-12,College/University,Libraries,General","Beginner,Intermediate",checked,3D Printing,https://www.amazon.com/3D-Printing-Practical-Librarians-Guides/dp/1442255471,https://www.worldcat.org/title/3d-printing-a-practical-guide-for-librarians/oclc/1028501464,"This all encompassing book is aimed at Librarians looking to incorporate 3D printing into their library. Some of the many topics covered in ""3D Printing: A practical Guide for Librarians"" include choosing a 3D printer, addressing technical problems and faculty concerns that may arise, creating an effective outreach program using your 3D printer."
Mastering 3D printing,"Joan C.,Horvath",2014,10.1007/978-1-4842-0025-4 doi,General,Intermediate,,3D Printing,https://www.amazon.com/Mastering-3D-Printing-Technology-Action/dp/1484200268/ref=sr_1_4?keywords=Mastering+3D+printing&qid=1569590845&s=gateway&sr=8-4,https://www.worldcat.org/title/3d-printing-designs-fun-and-functional-projects-get-to-grips-with-3d-printing-and-learn-to-model-designs-using-blender/oclc/953616405&referer=brief_results,"Mastering 3D Printing covers basic skills like how to create a printable file for your 3D printer, how to choose your materials, etc.  It also discusses the applications pf 3D printing in education and science, and the potential of 3D printing in the future. "
3d printing for dummies,"Richard; ebrary.,Kirk Kalani; Horne,Hausman",2014,9781118660683 (e-book),General,Beginner,,3D Printing,https://www.amazon.com/Printing-Dummies-Kalani-Kirk-Hausman/dp/1118660757/ref=sr_1_5?keywords=3D+printing+for+dummies&qid=1569256815&s=gateway&sr=8-5,https://www.worldcat.org/title/3d-printing-for-dummies/oclc/900057826&referer=brief_results,"This book is designed to teach you the basics of 3D Printing and is perfect for beginners.  It discusses the basics of 3D Printing, deciding what materials and printer to use, and the applications of 3D Printing.  These include art, manufacturing, and even food production."
3D printing projects,DK Inc.,2017,978-0-241-30221-7 0-241-30221-8,K-12,Beginner,checked,3D Printing,https://www.amazon.com/3D-Printing-Projects-DK/dp/146546476X/ref=sr_1_1?keywords=3D+printing+projects+DK&qid=1575760202&sr=8-1,https://www.worldcat.org/title/3d-printing-projects/oclc/973084037&referer=brief_results,"This book starts with an introduction to 3D printing and 3D modeling before diving into projects designed for curious junior makers.  Projects you will find include a dinosaur stamp, a colorful photo frame, a fridge magnet, and many more.  Each project includes detailed instructions on modeling and printing the projects, as well as any finishing touches after printing."
Getting the most out of makerspaces to create with 3-D printers,"""Petrikowski, Nicki Peter""",2015,978-1477778135,Libraries,Beginner,,3D Printing,https://www.amazon.com/Getting-Most-Makerspaces-Create-Printers/dp/1477786023/ref=sr_1_1?keywords=Getting+the+most+out+of+makerspaces+to+create+with+3-D+printers&qid=1569857195&s=gateway&sr=8-1,https://www.worldcat.org/title/getting-the-most-out-of-makerspaces-to-create-with-3-d-printers/oclc/884552729&referer=brief_results,This is a short and easy to read crash course in 3D Printing that covers the basics of 3D printing and how to incorporate 3D printing into your makerspace.
"3D technology in fine art and craft : exploring 3D printing, scanning, sculpting and milling","Bridgette,Mongeon",2016,1-138-84433-0,General,Beginner,,"3D Printing,3D Scanning",https://www.amazon.com/Technology-Fine-Art-Craft-Exploring/dp/1138844330/ref=sr_1_1?keywords=3D+technology+in+fine+art+and+craft+%3A+exploring+3D+printing%2C+scanning%2C+sculpting+and+milling&qid=1569855462&s=gateway&sr=8-1,https://www.worldcat.org/title/3d-technology-in-fine-art-and-craft-exploring-3d-printing-scanning-sculpting-and-milling/oclc/1003798240&referer=brief_results,3D Technology in Fine Art and Craft covers the basics of 3D printing and provides tutorials for creating art with a variety of 3D technologies.  There is also a section dedicated to professional artists who have created artwork using 3D technology and what techniques they employ in their creative process.
Getting Started with Arduino,"Massimo Banzi,Michael Shiloh",2014,9.78E+12,,,,Arduinos,,http://www.worldcat.org/oclc/904719184,3rd edition.  
Arduino Sketches: Tools and Techniques for Programming Wizardry,James A. Langbridge,2015,978-1118919606,"College/University,Libraries","Intermediate,Advanced",checked,Arduinos,https://www.amazon.com/Arduino-Sketches-Techniques-Programming-Wizardry/dp/1118919602,,UF Library Catalog - TJ223.P76L36 2015
Beginning Arduino (Technology in Action),Michael McRoberts,2013,978-1430250166,"Libraries,College/University,General,K-12","Beginner,Intermediate",checked,Arduinos,https://www.amazon.com/Beginning-Arduino-Technology-Michael-McRoberts/dp/143025016X,,UF - TK7835.M37 2013
